1	1	1	1.4
2	1	2	1.8
3	1	3	2.7
4	1	4	3.7
5	1	5	4.7
6	1	6	5.5
7	2	1	1.7
8	2	2	2
9	2	3	3
10	2	4	4
11	2	5	5
12	2	6	6
13	3	1	2
14	3	2	2.3
15	3	3	3.5
16	3	4	4.5
17	3	5	5.5
18	3	6	6.5
19	4	1	2.7
20	4	2	3
21	4	3	3.5
22	4	4	4.2
23	4	5	5.5
24	4	6	7
25	5	1	3.2
26	5	2	3.7
27	5	3	4.2
28	5	4	5.5
29	5	5	6.5
30	5	6	7.5
31	6	1	3.7
32	6	2	4.5
33	6	3	5.3
34	6	4	6.2
35	6	5	7.1
36	6	6	7.9
37	7	1	4.5
38	7	2	5.4
39	7	3	6.1
40	7	4	7
41	7	5	7.8
42	7	6	8.5
